MKT,SERIES,SYMBOL,SECURITY,CLOSE_PRICE,DATE,ISIN
Y, , ,Nifty 50,24611.1,29-Oct-2025,
Y, , ,NIFTY50 EQL Wgt,31553.9,29-Oct-2025,
Y, , ,NIFTY100 EQL Wgt,32812.7,29-Oct-2025,
Y, , ,NIFTY100 LowVol30,19921.45,29-Oct-2025,
Y, , ,NIFTY Alpha 50,48722.95,29-Oct-2025,
Y, , ,NIFTY MIDCAP 150,21038.7,29-Oct-2025,
Y, , ,NIFTY SMLCAP 50,8395.4,29-Oct-2025,
Y, , ,NIFTY SMLCAP 250,16692.75,29-Oct-2025,
Y, , ,NIFTY MIDSML 400,19482.1,29-Oct-2025,
Y, , ,NIFTY200 QUALTY30,20338.8,29-Oct-2025,
Y, , ,Nifty FinSrv25 50,28102.05,29-Oct-2025,
Y, , ,NIFTY AlphaLowVol,25952.95,29-Oct-2025,
Y, , ,Nifty200Momentm30,29844.65,29-Oct-2025,
Y, , ,Nifty100ESGSecLdr,4118.05,29-Oct-2025,
Y, , ,NIFTY100 ESG,4884.1,29-Oct-2025,
Y, , ,NIFTY M150 QLTY50,23602.85,29-Oct-2025,
Y, , ,NIFTY INDIA MFG,14768.15,29-Oct-2025,
Y, , ,Nifty200 Alpha 30,24068,29-Oct-2025,
Y, , ,NiftyM150Momntm50,58708.5,29-Oct-2025,
Y, , ,Nifty IT,33655.1,29-Oct-2025,
Y, , ,Nifty Next 50,67845.15,29-Oct-2025,
Y, , ,Nifty Bank,54635.85,29-Oct-2025,
Y, , ,NIFTY MIDCAP 100,56529.3,29-Oct-2025,
Y, , ,Nifty 500,22734.1,29-Oct-2025,
Y, , ,Nifty 100,25295.15,29-Oct-2025,
Y, , ,Nifty Midcap 50,15945.4,29-Oct-2025,
Y, , ,Nifty Realty,867.6,29-Oct-2025,
Y, , ,Nifty Infra,9007.2,29-Oct-2025,
Y, , ,Nifty Energy,34999.65,29-Oct-2025,
Y, , ,Nifty FMCG,54710.7,29-Oct-2025,
Y, , ,Nifty MNC,29829.95,29-Oct-2025,
Y, , ,Nifty Pharma,21454.25,29-Oct-2025,
Y, , ,Nifty PSE,9800.85,29-Oct-2025,
Y, , ,Nifty PSU Bank,7526.75,29-Oct-2025,
Y, , ,Nifty Serv Sector,31851.4,29-Oct-2025,
Y, , ,India VIX,11.06,29-Oct-2025,
Y, , ,Nifty Auto,26542.35,29-Oct-2025,
Y, , ,Nifty Metal,10038.15,29-Oct-2025,
Y, , ,Nifty Media,1542.95,29-Oct-2025,
Y, , ,NIFTY SMLCAP 100,17562.75,29-Oct-2025,
Y, , ,Nifty 200,13739.95,29-Oct-2025,
Y, , ,Nifty Div Opps 50,5915.5,29-Oct-2025,
Y, , ,Nifty Commodities,8985.9,29-Oct-2025,
Y, , ,Nifty Consumption,12063.25,29-Oct-2025,
Y, , ,Nifty Fin Service,26022.1,29-Oct-2025,
Y, , ,Nifty50 Div Point,210.91,29-Oct-2025,
Y, , ,Nifty100 Liq 15,7103.4,29-Oct-2025,
Y, , ,Nifty CPSE,6459.35,29-Oct-2025,
Y, , ,Nifty GrowSect 15,11574.5,29-Oct-2025,
Y, , ,Nifty50 PR 2x Lev,13236.75,29-Oct-2025,
Y, , ,Nifty50 PR 1x Inv,209.85,29-Oct-2025,
Y, , ,Nifty50 TR 2x Lev,19748.4,29-Oct-2025,
Y, , ,Nifty50 TR 1x Inv,171.95,29-Oct-2025,
Y, , ,Nifty50 Value 20,12472.75,29-Oct-2025,
Y, , ,Nifty Mid Liq 15,14747.25,29-Oct-2025,
Y, , ,Nifty Pvt Bank,26462.45,29-Oct-2025,
Y, , ,NIFTY100 Qualty30,5567.55,29-Oct-2025,
Y, , ,Nifty GS 8 13Yr,2931.45,29-Oct-2025,
Y, , ,Nifty GS 10Yr,2592.28,29-Oct-2025,
Y, , ,Nifty GS 10Yr Cln,899.11,29-Oct-2025,
Y, , ,Nifty GS 4 8Yr,3180.97,29-Oct-2025,
Y, , ,Nifty GS 11 15Yr,3217.69,29-Oct-2025,
Y, , ,Nifty GS 15YrPlus,3462.32,29-Oct-2025,
Y, , ,Nifty GS Compsite,3018.4,29-Oct-2025,
Y, , ,NIFTY HEALTHCARE,14139.05,29-Oct-2025,
Y, , ,NIFTY CONSR DURBL,37114.5,29-Oct-2025,
Y, , ,NIFTY OIL AND GAS,11280.5,29-Oct-2025,
Y, , ,NIFTY500 MULTICAP,15817,29-Oct-2025,
Y, , ,NIFTY LARGEMID250,15946.5,29-Oct-2025,
Y, , ,NIFTY MID SELECT,12599.25,29-Oct-2025,
Y, , ,NIFTY TOTAL MKT,12785.95,29-Oct-2025,
Y, , ,NIFTY MICROCAP250,22885.95,29-Oct-2025,
Y, , ,NIFTY IND DIGITAL,8702.3,29-Oct-2025,
Y, , ,Nifty Tata 25 Cap,14393.4,29-Oct-2025,
Y, , ,Nifty MidSml Hlth,43141.45,29-Oct-2025,
Y, , ,Nifty Multi Mfg,15360.6,29-Oct-2025,
Y, , ,Nifty Multi Infra,13805.15,29-Oct-2025,
Y, , ,BHARATBOND-APR30,1544.47,29-Oct-2025,
Y, , ,BHARATBOND-APR31,1406.56,29-Oct-2025,
Y, , ,BHARATBOND-APR32,1282.61,29-Oct-2025,
Y, , ,BHARATBOND-APR33,1245.46,29-Oct-2025,
Y, , ,Nifty Ind Defence,7850.25,29-Oct-2025,
Y, , ,Nifty Ind Tourism,8813.5,29-Oct-2025,
Y, , ,Nifty Capital Mkt,4143.65,29-Oct-2025,
Y, , ,Nifty500Momentm50,50575.35,29-Oct-2025,
Y, , ,NiftyMS400 MQ 100,46707.9,29-Oct-2025,
Y, , ,NiftySml250MQ 100,44464.55,29-Oct-2025,
Y, , ,Nifty Top 10 EW,9228.2,29-Oct-2025,
Y, , ,Nifty AQL 30,22171.4,29-Oct-2025,
Y, , ,Nifty AQLV 30,20531.15,29-Oct-2025,
Y, , ,Nifty EV,3062.1,29-Oct-2025,
Y, , ,Nifty HighBeta 50,3702.7,29-Oct-2025,
Y, , ,Nifty New Consump,11855.5,29-Oct-2025,
Y, , ,Nifty Corp MAATR,36371.45,29-Oct-2025,
Y, , ,Nifty Low Vol 50,24555.3,29-Oct-2025,
Y, , ,Nifty Mobility,22392.8,29-Oct-2025,
Y, , ,Nifty Qlty LV 30,16974.3,29-Oct-2025,
Y, , ,Nifty Sml250 Q50,25830.55,29-Oct-2025,
Y, , ,Nifty Top 15 EW,10321.85,29-Oct-2025,
Y, , ,Nifty100 Alpha 30,18032.95,29-Oct-2025,
Y, , ,Nifty100 Enh ESG,4921.85,29-Oct-2025,
Y, , ,Nifty200 Value 30,13283.9,29-Oct-2025,
Y, , ,Nifty500 EW,14097.7,29-Oct-2025,
Y, , ,Nifty Multi MQ 50,40444.75,29-Oct-2025,
Y, , ,Nifty500 Value 50,14456.3,29-Oct-2025,
Y, , ,Nifty Top 20 EW,9059.5,29-Oct-2025,
Y, , ,Nifty CoreHousing,15661.95,29-Oct-2025,
Y, , ,Nifty FinSerExBnk,29397,29-Oct-2025,
Y, , ,Nifty Housing,11431,29-Oct-2025,
Y, , ,Nifty IPO,2143.1,29-Oct-2025,
Y, , ,Nifty MS Fin Serv,17964.9,29-Oct-2025,
Y, , ,Nifty MS Ind Cons,19080.6,29-Oct-2025,
Y, , ,Nifty MS IT Telcm,9140.75,29-Oct-2025,
Y, , ,Nifty NonCyc Cons,15962.8,29-Oct-2025,
Y, , ,Nifty Rural,15383.4,29-Oct-2025,
Y, , ,Nifty Shariah 25,8011.7,29-Oct-2025,
Y, , ,Nifty Trans Logis,25386.4,29-Oct-2025,
Y, , ,Nifty50 Shariah,4507.25,29-Oct-2025,
Y, , ,Nifty500 LMS Eql,17426.15,29-Oct-2025,
Y, , ,Nifty500 Shariah,6932.5,29-Oct-2025,
Y, , ,Nifty500 Qlty50,18697.65,29-Oct-2025,
Y, , ,Nifty500 LowVol50,22000.6,29-Oct-2025,
Y, , ,Nifty500 MQVLv50,30945.45,29-Oct-2025,
