ISIN,Security_Code,Security_Name
INE160A01022,PNB,Punjab National Bank
INE477A01020,CANFINHOME,Can Fin Homes Limited
INE083A01026,MOREPENLAB,MOREPEN LABORATORIES LTD
INE371A01025,GRAPHITE,Graphite India Ltd
INE330H01018,RCOM,RELIANCE COMMUNICATIONS L
INE018E01016,SBICARD,SBI Cards and Payment Services Limited
INE053F01010,IRFC,Indian Railway Finance Corporation Limited
INE09VQ01012,INDIGOPNTS,Indigo Paints Ltd
INE891D01026,REDINGTON,Redington India Ltd.
INE758T01015,ZOMATO,Eternal Ltd
INF769K01101,112932,Mirae Asset Large & Midcap Fund - Regular Plan - Growth
INE030A01027,HUL,Hindustan Unilever Ltd
INE002A01018,RIL,Reliance Industries Ltd
INE154A01025,ITC,ITC Ltd
INE009A01021,INFOSYSTECH,Infosys Ltd
INF200KA15E8,149886,SBI Multicap Fund- Regular Plan- Growth Option
INF769K01IC9,MIDCAPETF,Mirae Asset Nifty Midcap 150 ETF
INF846K016H6,149896,Axis Nifty Smallcap 50 Index Fund - Regular Plan - Growth Option
INE040H01021,SUZLON,Suzlon Energy Ltd
INE0J1Y01017,LICI,Life Insurance Corporation Of India
INE550C01020,URJA,Urja Global Ltd
INE081A01020,TATASTEEL,Tata Steel Ltd
INE0DYJ01015,SYRMA,Syrma SGS Technology Limited
INE0JS101016,DREAMFOLKS,Dreamfolks Services Ltd
INF179KC1EB5,150803,HDFC Business Cycle Fund - Growth Option
INF179KC1EC3,150806,HDFC Business Cycle Fund - IDCW Option
INE136B01020,CYIENT,Cyient Limited
INF204KB17I5,105085,Nippon India ETF Gold BeES
INE365D01021,ASHIANA,Ashiana Housing Ltd
INE292B01021,HBLPOWER,HBL Engineering Ltd
INE619B01017,NEWGEN,Newgen Software Technologies Ltd
INE191B01025,WELCORP,Welspun Corp Limited
INE540H01012,VOLTAMP,Voltamp Transformers Limited
INE619A01035,RUCHI,Patanjali Foods Ltd
INE839M01018,SCHNEIDER,Schneider Electric Infrastructure Ltd
INE127I01024,GOODLUCK,GOOD LUCK STEEL TUBE LTD.
INE758E01017,RSIL,Jio Financial Services Ltd
INE07Y701011,ABBPOWER,Hitachi Energy India Ltd
INE202E01016,INDRENED,Indian Renewable Energy Development Agency Ltd
INE848E01016,NHPC,NHPC Ltd
INE069I01010,IBREALESTATE,Embassy Developments Ltd
INF179KC1GL9,151751,HDFC Defence Fund - Growth Option
INE004A01022,NSDEOVI1,Protean Egov Technologies Ltd
INE345A01011,HINDOILEXP,Hindustan Oil Exploration Company Ltd
INF200K01560,102941,SBI Magnum MIDCAP FUND - REGULAR PLAN - GROWTH
INF204K01HY3,113177,Nippon India Small Cap Fund - Growth Plan - Growth Option
INE041025011,EMBASSYREIT,EMBASSY OFFICE PARKS REIT
INE062A01020,SBI,State Bank of India
INF200KB1290,152774,SBI Innovative Opportunities Fund - Regular Plan - Growth
INE377Y01014,BAJHOUFI,Bajaj Housing Finance Ltd
INF200KB1357,152906,SBI Nifty 500 Index Fund- Regular Plan- Growth
INF769K01MS7,153009,Mirae Asset Gold ETF Fund of Fund - Regular Plan - Growth
INF769K01MA5,152970,Mirae Asset Nifty Total Market Index Fund - Regular Plan - Growth
INE995S01015,NIVBUPHI,Niva Bupa Health Insurance Company Ltd
INE0ONG01011,NTPGREEN,NTPC Green Energy Ltd
INE276G01015,530355,Asian Energy Services Limited
INE379A01028,ITCHOTLTD,ITC Hotels Ltd
INE013P01021,ONESOURCE,OneSource Specialty Pharma Ltd
INE927D01051,JBMA,JBM Auto Ltd
INE797F01020,JUBLFOOD,Jubilant Foodworks Limited
INE552Z01027,ALLBLEAD,Allied Blenders and Distillers Ltd
INE0ILV01024,CAPTECH1,Capillary Technologies India Ltd
INF247L01FQ0,MONMM5E_SC,Motilal Oswal Nifty Midcap150 Momentum 50 ETF
INF846KA1119,ANV5E_SC,Axis Nifty500 Value 50 ETF
INF754K01TF1,ENMMQ5E_SC,Edelweiss Nifty500 Multicap Momentum Quality 50 ETF
