ISIN,Security_Code,Security_Name
INE670A01012,TATAELXSI,TATA ELXSI LTD
INF740KA1EU7,LIQUIDETF,DSP Liquid ETF
,CASH,CASH
INE267A01025,HINDZINCNEW,Hindustan Zinc Limited
INE009A01021,INFOSYSTECH,Infosys Ltd
INE002A01018,RIL,Reliance Industries Ltd
INE361B01024,DIVISLAB,Divis Laboratories Ltd
INE021A01026,ASIANPAINTS,Asian Paints Ltd
INE022Q01020,IEX,Indian Energy Exchange Ltd.
INE797F01020,JUBLFOOD,Jubilant Foodworks Limited
INE467B01029,TCS,Tata Consultancy Services Ltd
INE603J01030,PIIND,PI Industries Limited
INE317I01021,METROBRAND,Metro Brands Limited
INE373A01013,BASF,BASF India Ltd
INE669C01036,TECHMAHINDRA,Tech Mahindra Ltd
INE182A01018,PFIZER,PFIZER LIMIT
INE006I01046,ASTRAL1,Astral Ltd.
INE118H01025,BSE,BSE Limited
INE647O01011,PETERENGLAND,Aditya Birla Fashion and Retail Limited
INE192A01025,TATAGLOBAL,TATA Consumer Products Ltd
INE237A01028,KMBANK,Kotak Mahindra Bank Ltd
INE0I7C01011,LATENTVIEW,Latent View Analytics Ltd
INE038A01020,HINDALCO,Hindalco Industries Ltd
INE854D01024,UNITEDSPIRITS,United Spirits Ltd
INE102D01028,GODREJCP,Godrej Consumer Products Ltd
INE029A01011,BPCL,Bharat Petroleum Corporation Ltd
INE726G01019,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd
INE0J1Y01017,LICI,Life Insurance Corporation Of India
INE765G01017,ICICIGI,ICICI Lombard General Insurance Company Ltd
INE195A01028,SUPREMEIND,Supreme Industries Limited
INE979A01025,SAREGAMA,Saregama India Limited
INE774D01024,MMFIN,Mahindra & Mahindra Financial Services Limited
INE585B01010,MARUTI,Maruti Suzuki India Ltd
INE674K01013,ADITYABIRLA,Aditya Birla Capital Ltd
INE002S01010,MGL,Mahanagar Gas Limited
INE318A01026,PIDILITIND,Pidilite Industries Ltd.
INE030A01027,HUL,Hindustan Unilever Ltd
INE150B01039,ALKYLAMINE,Alkyl Amines Chemicals Limited
INE016A01026,DABUR,Dabur India Ltd
INE040A01034,HDFCBANK,HDFC Bank Ltd
INE414G01012,MUTHOOTFIN,Muthoot Finance Limited
INE127D01025,HDFCAMC,HDFC Asset Management Company Limited
INE811K01011,PRESTIGE,PRESTIGE ESTATES PROJECTS LTD
INE491A01021,CUB,City Union Bank Limited
INF732E01037,101884,Nippon India ETF Nifty 1D Rate Liquid BeES
INE296A01032,BAJAUTOFIN,Bajaj Finance Ltd
INE214T01019,LTI,LTIMindtree Ltd
INE736A01011,CDSL,Central Depository Services India Limited
INE010V01017,LTTS,L and T Technology Services Limited
INE860A01027,HCLTECH,HCL Technologies Limited
INF204KB19I1,HNGSNGBEES,Nippon India ETF Hang Seng BeES
INE192R01011,DMART,AVENUE SUPERMARTS LIMITED
INE702C01027,APLAPOLLO,APL Apollo Tubes
INE171A01029,FEDERALBNK,Federal Bank Ltd
INE062A01020,SBI,State Bank of India
INE540L01014,ALKEM,Alkem Laboratories Ltd
INF174KA1HJ8,106193,Kotak Gold ETF
INE003A01024,SIEMENS,SIEMENS LTD
INF966L01AT0,150440,Quant Large Cap Fund-Growth Option-Direct Plan
INE628A01036,UNIPHOS,UPL Ltd
INE584A01023,NMDC,NMDC LTD
INE068V01023,GLAND,Gland Pharma Limited
INE871C01038,AVANTIFEED,Avanti Feeds Limited
INE917I01010,BAJAJAUTO,Bajaj Auto Ltd
INF846K01Z12,AXISHCETF,Axis NIFTY Healthcare ETF
INF789F1AUV1,UTIBANKETF,UTI Nifty Bank ETF
INF740KA1QK2,DSPNEWETF,DSP Nifty 50 Equal Weight ETF
INF109KC18U7,ICICIBANKP,ICICI Prudential Nifty Private Bank ETF
INF109KC16I6,ICICITECH,ICICI Prudential Nifty IT ETF
INF740KA1QL0,DSPQ50ETF,DSP Nifty Midcap 150 Quality 50 ETF
INF109KC16V9,ICICINF100,ICICI Prudential Nifty 100 ETF
INF846K01Y96,AXISTECETF,AXIS MUTUAL FUND-AXIS NIFTY IT ETF
INF209KB16D7,ABSLNN50ET,Aditya Birla Sun Life Nifty Next 50 ETF
INF769K01FN2,MANXT50,Mirae Asset Nifty Next 50 ETF
INF109KC17V7,ICICIALPLV,ICICI Prudential Nifty Alpha Low Volatility 30 ETF
INF109KC19V3,ICICIFMCG,ICICI Prudential Nifty FMCG ETF
INE613B01010,ICDSLTD,ICDS Ltd
INE238A01034,AXIS,Axis Bank Ltd
INE795G01014,HDFCLIFE,HDFC Standard Life Insurance Company Ltd
INE020B01018,RECLTD,REC Limited
INE129A01019,GAIL,GAIL India Ltd
INE176B01034,HAVELLS,Havells India Ltd
IN9175A01010,JISLDVREQS,Jain Irrigation Systems Limited-DVR
INE778K01012,EMAMIINFRA,Emami Realty Ltd
INE090A01021,ICICI,ICICI Bank Ltd
INE571A01038,IPCALAB,Ipca Laboratories Limited
INE175A01038,JISLJALEQS,Jain Irrigation Systems Limited
INE093R01011,LSIL,Lloyds Engineering Works Ltd
INE018A01030,LT,Larsen and Toubro Ltd
INE103A01014,MRP,MANGALORE REFINERY & PETROCHEMICALS LTD
INE588A01016,NEPCMICON,NEPC INDIA LTD.
INE239A01024,NESTLEIND,Nestle India Ltd
INE163A01018,NOCIL,NOCIL LTD.
INE234A01025,NOVARTIND,NOVARTIS INDIA LTD
INE213A01029,ONGC,Oil and Natural Gas Corporation Limited
INE834B01012,PCS,PCS Technology Ltd
INE319A01016,PHILIPS,PHILIPS INDIA LTD.
INE0FO801019,PHILIPSDOME,Philips Domestic Appliances India Ltd
INE330H01018,RCOM,RELIANCE COMMUNICATIONS L
INE293A01013,ROLTA,ROLTA INDIA LTD.
INE045U01015,SIGNIFY,Signify Innovations India Limited
INE155A01022,TATAMOTORS,Tata Motors Limited
INE081A01020,TATASTEEL,Tata Steel Ltd
INE849A01020,TRENT,Trent Ltd
INE481G01011,ULTRATECH,Ultratech Cement Ltd
INE951C01012,UNIVERSALOFF,Universal Office Automation Ltd
INE840M01016,ZUARI,ZUARI AGRO CHEMICALS LTD
INE217A01012,ZUARIGLOB,Zuari Industries Ltd
INE500A01029,DCW,DCW Ltd
INE012A01025,ACC,ACC Ltd
INE814H01029,ADANIPOWER,Adani Power Ltd
INE028A01039,BOB,Bank of Baroda
INE032A01023,BOMDYEING,Bombay Dyeing and Manufacturing Company Limited
INE476A01022,CANBK,Canara Bank
INE485A01015,CENTENKA,Century Enka Limited
INE059A01026,CIPLA,Cipla Ltd
INE548C01032,EMAMILTD,Emami Limited
INF204K01FQ3,112938,Nippon India Credit Risk Fund-Growth Plan
INF204KB19P6,148258,Nippon India Credit Risk Fund-Segregated Portfolio 2-Growth Plan
INE216A01030,BRITANNIA,Britannia Industries Ltd.
INE216A08027,BRITANNIADEB,BRITANNIA INDUSTRIES LIMITED - 5.5 NCD 03JU24 FVRS29
INE010B01027,CADILAHC,Zydus Lifesciences Limited
INE092T01019,IBL,IDFC First Bank Limited
INE733E07JW2,INE733E07JW2,NTPC LIMITED SR-3B 7.62 BD 05OT35 FVRS1000
INE087H01022,RENUKA,SHREE RENUKA SUGARS LTD
INE020B07JU4,INE020B07JU4,RURAL ELECTRIFICATION CORPORATION LTD
INF204K01489,101161,Nippon India Multi Cap Fund-Growth Plan-Growth Option
INF109K01AF8,102594,ICICI PRUDENTIAL DISCOVERY FUND-GROWTH OPTION
INF109K01VQ1,103340,ICICI Prudential Liquid Fund - Growth
INF090I01569,103360,Franklin India Smaller Companies Fund-Growth
INF179K01CR2,105758,HDFC MID-CAP OPPORTUNITIES FUND - GROWTH OPTION
INF109K01BL4,108466,ICICI PRUDENTIAL FOCUSED BLUECHIP EQUITY FUND - RETAIL GROWTH PLAN
INF209K01603,111803,Aditya Birla Sun Life Medium Term Plan-Growth-Regular Plan
INF846K01164,112277,Axis Bluechip Fund - Growth
INE383A01012,INDIACEM,INDIA CEMENTS LTD
,TDSACCOUNT,Tax Deducted at Source
INE885A01032,AMARAJABAT,Amara Raja Energy & Mobility Limited
INF109KC17C7,ICICIMOM30,ICICI Prudential Nifty 200 Momentum 30 ETF
INF109K01T04,120676,ICICI Prudential Ultra Short Term Fund - Direct Plan -  Growth
INE335Y01020,IRCTC,Indian Railway Catering And Tourism Corporation Limited
INE763G01038,ISEC,ICICI Securities Ltd
INE070A01015,SHREECEM,Shree Cement Limited
INE075A01022,WIPRO,WIPRO Ltd
INE891D01026,REDINGTON,Redington India Ltd.
INE0NNS01018,NMDCSTEEL,NMDC Steel Ltd
INE397D01024,BHARTI,Bharti Airtel Ltd
INE047A01021,GRASIM,Grasim Industries Ltd
INE262H01021,PERSISTENT,Persistent Systems Ltd
INE054A01027,VIPIND,VIP Industries Ltd
INE918I01026,BAJAJFINSV,BAJAJ FINSERV LTD
INE258G01013,SUMICHEM,Sumitomo Chemical India Limited
INE356A01018,MPHASIS,MPHASIS Ltd.
INE343H01029,SOLARINDS,SOLAR INDUSTRIES INDIA LTD
INE548A01028,HFCL,HFCL Limited
INE752E01010,POWERGRID,Power Grid Corporation Of India Limited
INE172A01027,CASTROL,CASTROL INDIA LTD
INE257A01026,BHEL,Bharat Heavy Electricals Ltd
INE741K01010,CREDITACC,CreditAccess Grameen Ltd
INE154A01025,ITC,ITC Ltd
INE522F01014,COALINDIA,Coal India Ltd.
INE018E01016,SBICARD,SBI Cards and Payment Services Limited
INE131B01039,RELAXO,Relaxo Footwears Limited
INE053F01010,IRFC,Indian Railway Finance Corporation Limited
INF204KB14I2,NIFTYBEES,Nippon India ETF Nifty 50 BeES
INE271C01023,DLF,DLF Limited
INE259A01022,COLPAL,COLGATE PALMOLIVE INDIA LTD
INF769K01GS9,MAESGETF,Mirae Asset Nifty 100 ESG Sector Leaders ETF
INF109KC1Q72,ICICIPHARM,ICICI Prudential Nifty Healthcare ETF
INE465A01025,BHARATFORG,BHARAT FORGE LTD
INE410B01037,VINATIORGA,VINATI ORGANICS LTD
INE073K01018,SONACOMS,Sona BLW Precision Forgings Ltd
INE288B01029,DEEPAKNTR,Deepak Nitrite Ltd
INF769K01IB1,MAMFGETF,Mirae Asset Nifty India Manufacturing ETF
INF754K01NB3,149250,Edelweiss Nifty 50 Index Fund Direct Plan Growth
INF179KC1BG0,148986,HDFC Banking & Financial Services Fund-Growth Option-Direct Plan
INE600L01024,LALPATHLAB,Dr Lal Pathlabs Ltd
INE113A01013,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
INE533A01012,GOODYEAR,GOODYEAR INDIA LTD.
